Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Shazam Counts,spotify_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo_x,time_signature,track_genre,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,chroma_stft,tempo_y,beat_strength,harmonic_to_percussive_ratio,speech_to_music_ratio,tempogram,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,Spotify_Composite,YouTube_Composite,TikTok_Composite,Apple Music_Composite,SiriusXM_Composite,Deezer_Composite,Amazon_Composite,Pandora_Composite,Shazam_Composite,Spotify_Hit,YouTube_Hit,TikTok_Hit,Apple Music_Hit,SiriusXM_Hit,Deezer_Hit,Amazon_Hit,Pandora_Hit,Shazam_Hit
2015-06-05,SEWEE1500509,3687,22.3,1429205245,151855,83732411,156015402,1540316,1213204,40191496,323351717,4243,200.0,74545,1.0,126.0,2293474,34.0,61716921,50211,9877808,1rIKgCH4H52lrvDcz50hS8,Zara Larsson,So Good,Lush Life,78,201122,False,0.694,0.712,7,-3.923,0,0.046,0.132,0.0,0.211,0.799,98.023,4,house,3331.50811372733,3820.864660812728,7290.779227882677,0.0640955251538135,0.42860943,98.68421053,1.2976924,-0.6403482231129958,0.2963004,0.1560201006730104,-97.54876,129.63217,-22.541315,36.213955,-8.726201,29.661272,-15.461534,15.296145,-12.313367,3.5010545,-0.53093505,-2.038065,-3.9417078,0.8197270414753208,0.5604106087398573,0.7685933872276238,0.7835025755626475,0.07820764442995602,0.827073574282641,0.6775932438262062,0.8024850368262313,0.9340011099618211,True,False,False,True,False,True,False,False,True
2011-11-20,GBARL1401201,1708,35.3,1128783268,167396,68560436,1029118874,6969569,834862,93260597,763486350,307509513,108.0,36585,19.0,70.0,962058,19.0,190785028,61098,10713096,7MmG8p0F9N3C4AXdK6o6Eb,Calvin Harris;Ellie Goulding,Motion,Outside (feat. Ellie Goulding),79,227266,False,0.646,0.823,2,-4.123,0,0.0394,0.213,0.0,0.322,0.418,128.035,4,house,3382.5885437019983,3736.313102712612,7258.416863207547,0.0671958836969339,0.4127217,127.84090909,1.0665164,-0.704788793316006,0.2336955,0.2279408722496683,-87.94963,131.7973,-35.467083,37.228703,-19.166492,24.73993,-17.31384,16.032158,-8.567492,4.0549345,-7.0880623,1.9897926,-6.4041657,0.8000857288786927,0.9045232955461092,0.7817478780553838,0.7137944231391548,0.33800781569678806,0.7530590800154476,0.57093930432846,0.8363929010637517,0.9387086522653739,False,False,False,False,False,False,False,False,True
2017-05-05,GBUM71701777,2509,28.3,955563174,89780,18075056,929090173,5061750,29802,16031731,85857976,262705725,103.0,59537,0.0,96.0,388298,7.0,27583329,14884,7735883,7jEyX4bqaCSdMN4D4JNnVj,Jonas Blue;William Singe,Blue,Mama,74,184133,False,0.738,0.794,11,-4.118,0,0.0416,0.101,0.0,0.0533,0.566,104.014,4,house,3735.9218282248767,3844.816339800668,8081.585210755814,0.0735609329578488,0.4489665,104.16666667,1.2672765,-0.4121907005631498,0.23870231,0.1555783079532195,-102.87201,114.61068,-23.165041,49.071407,-18.20124,28.306257,-18.536158,10.099914,-7.197213,6.02193,-4.957804,6.462113,0.64961636,0.7076151798561053,0.8954647247767371,0.6600063474665105,0.727680704873642,0.0,0.7537496724727248,0.396308748174585,0.7414889946718326,0.9198267484041203,False,False,False,False,False,False,False,False,False
2022-04-22,USUG12202336,2563,27.9,383945607,58627,45560940,51670623,427016,20633,9518866,159467861,2170376776,83.0,109284,409.0,31.0,987836,41.0,5618643,886,1125402,1bgKMxPQU7JIZEhNsM1vFs,Alesso;Zara Larsson,Words (feat. Zara Larsson),Words (feat. Zara Larsson),85,142677,False,0.739,0.586,10,-5.079,0,0.0472,0.0245,0.000252,0.308,0.444,124.026,4,house,2688.2805578405982,3319.4766485589644,5717.410364054094,0.0461272919740922,0.4681499,125.0,1.1812339,-0.98954221319818,0.26383787,0.1672003714528979,-124.30234,148.20947,-24.321466,39.402264,-12.5252495,21.780758,-14.340411,21.29654,-7.5108576,2.1757934,5.568482,-0.3670212,-1.0595798,0.6581110185293959,0.9001470909596512,0.6522948156068441,0.7337467003152943,0.6788016934590012,0.6862041650345284,0.7123408558604851,0.6066811563349707,0.8080346933645852,False,False,False,False,True,False,False,False,False
2021-12-29,USUG12106230,2658,27.3,279996207,36648,30173875,42705657,691402,1943,977042,19367991,1087314726,71.0,251715,901.0,43.0,750115,44.0,50039519,3089,1785826,5902W4uHWzhtOff1UK7the,Alesso;Katy Perry,When I’m Gone (with Katy Perry),When I’m Gone (with Katy Perry),80,161266,False,0.685,0.886,0,-4.179,1,0.034,0.028,0.0,0.481,0.615,125.034,4,house,3561.0269701561933,4023.235895706784,8054.039127595556,0.0626351314000297,0.4504172,125.0,1.1491437,0.4509547614178182,0.30998194,0.2177648875236918,-77.50226,122.77789,-23.071707,50.844536,-14.21907,29.215899,-16.392416,15.6719,-6.391828,8.558572,-1.1319802,8.82418,-3.2091289,0.5940281444988498,0.8851740957808542,0.5457270504151192,0.7521893327502857,0.7677631645822582,0.7053972303360081,0.7254898085883774,0.7020647775242982,0.8348117569051899,False,False,False,False,True,False,False,False,False
2022-04-29,GBAHS2200261,2964,25.6,305830522,49204,75701853,33342986,195870,9907,3779521,88167309,2477288175,88.0,130577,0.0,44.0,784381,30.0,136071,182,1765444,1RF02Cf80mTaeNXG2P2boR,Nathan Dawe;Ella Henderson,21 Reasons (feat. Ella Henderson),21 Reasons (feat. Ella Henderson),83,155253,False,0.621,0.785,6,-4.499,1,0.11,0.0165,5.92e-06,0.0512,0.779,123.96,4,house,3735.411447011378,3669.533366217348,7892.42188568303,0.0847834990449371,0.470615,125.0,1.196719,-9.162704614615462,0.2525481,0.1843012222862027,-96.014,115.63934,-32.279568,52.535423,-25.606974,29.369844,-10.661236,11.637503,2.9084828,-1.8895011,2.3700004,3.596436,-0.22631747,0.648934865599754,0.8907958207534862,0.617036331203802,0.744267008885148,0.0,0.7085728267320495,0.6544637793268568,0.46303733515420226,0.8341460812409137,False,False,False,False,False,False,False,False,False
2012-01-01,GBAAA1200728,4557,19.5,1088273121,203395,83814501,20942928,209498,25739,16932344,115452865,39509629,142.0,166092,0.0,76.0,636337,46.0,293997575,349531,102837,2V65y3PX4DkRhy1djlxd9p,Swedish House Mafia;John Martin,Don't You Worry Child,Don't You Worry Child - Radio Edit,80,212862,False,0.612,0.84,11,-3.145,0,0.0509,0.112,0.0,0.116,0.438,129.042,4,house,3394.3703201409885,3709.741538022724,7171.474509546001,0.0699970844060057,0.42082185,127.84090909,1.0363573,59.552144654959015,0.2612833,0.2375413289322848,-83.09228,138.85634,-32.311413,28.921022,-15.795924,21.68599,-22.22907,9.059237,-8.498203,10.028308,-11.157792,6.32662,-4.060549,0.8142533496372014,0.7729937271246259,0.6610125411509686,0.7872394844737396,0.0,0.7481965015901151,0.7337773848109568,0.9064696954014587,0.6692757944364592,True,False,False,True,False,False,False,True,False
2018-05-25,GBUM71802109,2592,27.7,872518334,93636,18157143,681562909,4154352,23063,2845186,36403946,418778843,98.0,62237,16.0,55.0,1280746,18.0,28442862,15750,5306138,5ZSl6gDoV6bPPxzmLeneV9,Jonas Blue;Jack & Jack,Blue,Rise,71,194407,False,0.687,0.785,1,-4.65,1,0.0333,0.327,0.0,0.203,0.655,106.046,4,house,3363.1762604226506,3474.8742691503985,7151.043443821594,0.0689850604740433,0.42109016,106.13207547,1.1355455,-0.2423092167877751,0.2065627,0.1865941294488798,-125.22793,116.98531,-28.930574,38.408367,-14.804767,22.173943,-16.352472,8.379613,-7.7880783,0.5774299,-6.762114,2.8984625,1.4934437,0.7005319053120908,0.9034272594141477,0.6212952804164149,0.7256788588785575,0.31967084050916433,0.7410558518893711,0.5611636117297351,0.7441627042277943,0.8979636089800309,False,False,False,False,False,False,False,False,False
2017-11-30,GBUM71705474,2987,25.5,314089265,33163,7584060,355189118,4288854,5531271,130863210,940593293,11901853,18.0,266,1.0,7.0,42915,0.0,10422977,53403,1039052,33KJ2xFYONOlIYDBg6wPx8,HRVY,Talk To Ya - EP,Personal,70,198040,False,0.755,0.536,8,-5.605,1,0.12,0.114,0.0,0.0282,0.882,138.969,4,house,3960.435057911864,3643.3163927402097,8153.5273533241425,0.0883460948669832,0.40157545,92.21311475,1.1551268,-0.1430852050770316,0.19230333,0.178242816804227,-135.55177,90.64396,-39.33398,42.37675,-17.792484,20.855614,-26.302805,10.509548,-3.8642638,1.7309624,-4.2603583,3.6238558,-0.51875955,0.5422727878673578,0.7996524314049333,0.8299254572796796,0.4122143315805246,0.07820764442995602,0.4794897456941505,0.0,0.7617357915816231,0.8034051389294766,False,False,True,False,False,False,False,False,False
2019-07-26,GBCEN1900047,382,78.2,1349427877,220002,106549747,564022753,3884141,3646762,362781709,5118900832,49285616,357.0,386774,894.0,273.0,2339277,65.0,182505519,51884,16283609,2tnVG71enUj33Ic2nFN6kZ,Regard,Ride It,Ride It,81,157605,False,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,4,house,3258.888577187072,3484.791870195135,6990.111850341747,0.062597081296102,0.5095294,117.1875,1.5197818,-0.6995479785795566,0.27544618,0.1372400634412909,-113.71523,127.54911,-16.781929,57.973873,-11.4070835,26.022408,-4.8821416,1.5179408,-10.387293,4.250373,-0.3898803,-3.037695,0.38208973,0.843438075750157,0.8417226918023746,0.8543074955253137,0.883887058286397,0.7668841301244539,0.8928661094226271,0.7984820889722574,0.8297324708395482,0.9629892732727114,True,False,True,True,True,True,True,False,True
2019-01-18,GBUM71808052,1935,32.9,1016283394,103794,41086368,460509010,3376276,37205,3774501,45585575,523334750,192.0,198355,0.0,321.0,1173680,31.0,61750382,29039,9406511,5WHTFyqSii0lmT9R21abT8,Mabel,Ivy To Roses (Mixtape),Don't Call Me Up,77,178480,False,0.674,0.881,9,-2.853,1,0.147,0.296,3.01e-06,0.0793,0.234,98.994,4,house,3291.6608474292693,3458.270610557758,7333.871036386783,0.0661942316197151,0.43904597,98.68421053,1.2415252,-0.4699936914739896,0.24066703,0.1854157960022431,-127.51011,131.72285,-36.83591,51.043617,-20.848488,32.609253,-24.215425,13.118376,8.5178,-18.734907,4.5635223,1.346453,2.296924,0.7501228727212823,0.9038355848924593,0.6381248656632315,0.8153133511303621,0.0,0.8869632344509298,0.6605145802909751,0.783768190709427,0.9311659872375367,False,False,False,True,False,True,False,False,True
2016-06-03,GBUM71602437,2664,27.3,1050246077,113716,28088689,917728451,4676705,92540,8116828,62167288,264268663,95.0,64388,0.0,45.0,626313,5.0,22195250,14777,9355617,3P3pw6C19j31Rnzgo3JG7o,Jonas Blue;JP Cooper,Blue,Perfect Strangers,76,196613,False,0.73,0.861,1,-4.1,1,0.0451,0.39,0.0,0.213,0.704,117.965,4,house,2903.995189823012,3314.496863810586,6385.04687981807,0.0552446645900786,0.42971516,117.1875,1.1781886,-0.9628856691399638,0.25117797,0.1463668381117173,-129.3909,128.03288,-16.324516,41.675827,-13.8772745,26.308521,-9.008348,5.970154,-3.1531494,8.039039,-2.9002361,1.8924158,1.5361987,0.7429085325870158,0.8945768784489014,0.6718361037561538,0.7246516165714232,0.0,0.7040430395515299,0.34148108424634877,0.7360051790089965,0.9308513714140687,False,False,False,False,False,False,False,False,True
2015-07-17,GBARL1500704,1026,47.4,1156342373,168603,66723908,1961319809,8520003,527189,148496036,982629718,234830168,364.0,77370,80.0,132.0,734737,12.0,164858805,135026,14394209,22mek4IiqubGD9ctzxc69s,Calvin Harris;Disciples,How Deep is Your Love (feat. Disciples),How Deep is Your Love (feat. Disciples),77,212640,False,0.738,0.868,11,-4.373,0,0.0731,0.0392,0.00169,0.388,0.336,122.003,4,house,3072.044576588484,3447.0494054520304,6517.541694870638,0.0578913927747693,0.4801896,122.2826087,1.2905073,-0.9964546821716184,0.24635804,0.1462933267014826,-126.22,127.85753,-28.031176,39.27175,-7.2280636,23.063128,-6.104869,14.326444,-3.8586426,0.68468785,1.9685715,-0.17306246,-4.1313553,0.7998802581403021,0.9048569327678725,0.7808922141094751,0.8281365200868072,0.4958247347648564,0.7986462201286868,0.48883887746400356,0.8599971313001773,0.9558369936422892,False,False,False,True,False,True,False,False,True
